date,year,month,international_arrivals,asia_arrivals,europe_arrivals,americas_arrivals,oceania_arrivals,other_markets_arrivals,was_imputed,quality_flag,covid_period,recovery_period,log_international_arrivals,international_arrivals_mom_growth_pct,international_arrivals_yoy_growth_pct,log_asia_arrivals,asia_arrivals_mom_growth_pct,asia_arrivals_yoy_growth_pct,log_europe_arrivals,europe_arrivals_mom_growth_pct,europe_arrivals_yoy_growth_pct,log_americas_arrivals,americas_arrivals_mom_growth_pct,americas_arrivals_yoy_growth_pct,log_oceania_arrivals,oceania_arrivals_mom_growth_pct,oceania_arrivals_yoy_growth_pct,log_other_markets_arrivals,other_markets_arrivals_mom_growth_pct,other_markets_arrivals_yoy_growth_pct
2018-08-01,2018,8,1323546,1046276,173852,65579,34180,3659,False,observed,0,0,14.095825056373224,11.333031072065758,7.678639854925673,13.86074775113416,13.556181915467459,8.164358183897068,12.065959641540097,21.864573110893026,5.8317911756111895,11.091010801730992,-15.7407169471926,9.016706840661627,10.439395956669582,-21.32762509782259,-0.10521393500116938,8.204945165019208,4.30444697833523,13.704164077066494
2018-09-01,2018,9,1212597,994451,127200,54500,33293,3153,False,observed,0,0,14.008274898593946,-8.38270827005635,24.247606439660974,13.80994610507186,-4.953281925610453,28.44602998900825,11.75351592988816,-26.83431884591492,10.002248473632314,10.905955980651335,-16.894127693316463,10.824165768550342,10.413102443661062,-2.5950848449385555,-2.3551149694978846,8.056109659545061,-13.828915004099485,11.492220650636487
2018-10-01,2018,10,1205157,960172,139393,63274,38624,3694,False,observed,0,0,14.00212040687626,-0.6135591626896697,17.587879391042428,13.774867714062255,-3.4470275559077335,20.015049191105973,11.8450525608397,9.585691823899367,10.072016298425424,11.055229781258411,16.099082568807344,11.370436864153199,10.561629123897259,16.01237497371819,0.6331257653526379,8.214465160759186,17.158261972724386,22.19649354945419
2018-11-01,2018,11,1301909,994349,196578,76522,31084,3376,False,observed,0,0,14.07934220683494,8.02816562489368,11.030575625464788,13.809843530655037,3.5594664289314792,14.855781836747184,12.188814578093893,41.02429820722704,-0.33462111763453706,11.245333560170282,20.937509877674863,2.893639908565282,10.344448496329132,-19.521541010770505,-4.073571164053824,8.124446855715847,-8.60855441256091,19.758779709116702
2018-12-01,2018,12,1374235,1091610,170743,73133,34141,4608,False,observed,0,0,14.133407770618767,5.55538059879761,7.668881571164099,13.903164228639145,9.781374547568312,9.415939138191987,12.04791478098508,-13.142365880210406,2.1410112225120237,11.200034980259629,-4.428791720028224,2.279624631134358,10.438254287073526,9.834641616265593,-5.153350372263588,8.435549202375727,36.49289099526067,14.626865671641799
2019-01-01,2019,1,1481198,1155460,199864,88219,33612,4042,True,stale_repeated_vector,0,0,14.208361777764134,7.783457705559815,9.386241330951428,13.960009091048493,5.849158582277547,11.41581571157202,12.20539241422531,17.055457617589,4.375254587802768,11.387577638296568,20.62817059330262,1.8295357480896612,10.42263842504811,-1.5494566650068875,-5.246243621909619,8.304494897963567,-12.282986111111116,17.63678696158324
2019-02-01,2019,2,1588161,1219310,228986,103305,33084,3476,False,observed,0,0,14.278087301040495,7.221384311888079,10.917103457427313,14.013795682941772,5.525937721773144,13.269402091467564,12.341416145296355,14.570908217587952,6.105862128085482,11.545441056646908,17.10062458200614,1.5142879603789128,10.406805060811797,-1.570867547304533,-5.33905579399142,8.153637486385282,-14.002968827313211,21.8366631615843
2019-03-01,2019,3,1410187,1067426,223742,84845,30855,3319,False,observed,0,0,14.159232877674025,-11.206294575927755,4.9782106045198615,13.880760700839025,-12.456553296536566,3.6291653560430515,12.318248881307962,-2.2900963377673778,9.430695490560502,11.348581341406927,-17.86941580756014,10.534269597050505,10.337054090755167,-6.737395719985495,6.983114316424532,8.107418811719974,-4.516685845799772,3.395638629283493
2019-04-01,2019,4,1468766,1132070,206205,81863,44298,4330,False,observed,0,0,14.199933150432292,4.153988088104632,9.453146366418697,13.93955837328924,6.0560638395542155,11.468536701601817,12.23662609857363,-7.838045606099886,4.32835820895523,11.312802397310374,-3.5146443514644354,0.9657128761716871,10.69869480828722,43.5683033543996,0.984817398440696,8.373322820996535,30.460982223561306,16.366568126847625
2019-05-01,2019,5,1326668,1080932,143270,66260,32536,3670,False,observed,0,0,14.098181093617132,-9.674652054854215,14.25820375949305,13.893334189924907,-4.517211833190526,16.180651318964422,11.872486240887419,-30.520598433597634,7.330411656740465,11.101341675853886,-19.059892747639353,3.876965525890852,10.39010244758706,-26.55198880310623,7.703002416498395,8.207946941048617,-15.24249422632794,13.131935881627621
